상가업소번호,상호명,상권업종중분류명,행정동명,경도,위도,기초지자체 방문자 비율,상권분류
MA010120220809121894,파리바게뜨,기타 간이,황오동,129.2119237,35.84438919,11.3,핫플레이스
MA010120220803161613,디바인,주점,선도동,129.1814999,35.84352195,2.0,로컬상권
MA010120220803827092,병천토종순대국밥,한식,황오동,129.2029893,35.83905701,11.3,핫플레이스
MA010120220809166957,막걸리농장,주점,황오동,129.2094026,35.84725586,11.3,핫플레이스
MA010120220803100412,버터힐즈,기타 간이,황오동,129.2099098,35.84798539,11.3,핫플레이스
MA010120220805367393,재일식당,한식,황오동,129.2065828,35.84054986,11.3,핫플레이스
MA010120220809100648,반도식당,한식,황오동,129.209844,35.84481492,11.3,핫플레이스
MA010120220804540339,조은국시데이,한식,동천동,129.2193302,35.85401987,2.1,로컬상권
MA010120220812250473,진미아구찜,한식,성건동,129.2057036,35.84356649,3.3,로컬상권
MA010120220800112128,그냥술집,한식,동천동,129.2264697,35.85206762,2.1,로컬상권
MA010120220813373619,혀기,한식,황남동,129.2093428,35.8383186,10.7,핫플레이스
MA010120220809207167,훌림목,비알코올 ,황남동,129.2092419,35.83587862,10.7,핫플레이스
MA010120220812945769,글램,한식,성건동,129.2063144,35.8552238,3.3,로컬상권
MA010120220809126821,녹수식당,한식,황오동,129.2100854,35.84593679,11.3,핫플레이스
MA010120220807221724,아워홈신디프경주점,구내식당·뷔페,안강읍,129.1705249,35.97051572,3.2,로컬상권
MA010120220800525366,오아시스,주점,황남동,129.2086385,35.83646638,10.7,핫플레이스
MA010120220805939158,새소리카페,비알코올 ,안강읍,129.1956233,36.00383849,3.2,로컬상권
MA010120220804965155,노당옛날짜장,중식,안강읍,129.2284351,36.03178642,3.2,로컬상권
MA010120220805270438,뜰안,한식,외동읍,129.3214865,35.68673117,5.0,핫플레이스
MA010120220804783165,오늘은닭발,한식,황오동,129.2082738,35.84765506,11.3,핫플레이스
MA010120220807013433,고래사냥,주점,황오동,129.2027742,35.841683,11.3,핫플레이스
MA010120220810761201,동원국밥,한식,선도동,129.1792056,35.84420335,2.0,로컬상권
MA010120220802476992,본스치킨,기타 간이,외동읍,129.3253428,35.71112896,5.0,핫플레이스
MA010120220806902728,인생극장,한식,동천동,129.2231592,35.85558894,2.1,로컬상권
MA010120220809123595,소담,한식,동천동,129.2355261,35.84547498,2.1,로컬상권
MA010120220807050792,한끼밥상,한식,안강읍,129.1960639,35.99933429,3.2,로컬상권
MA010120220810231795,더벤티,비알코올 ,안강읍,129.1955341,36.00182182,3.2,로컬상권
MA010120220811792312,불닭발땡초동대문엽기떡볶이경주,기타 간이,황오동,129.2120995,35.8443409,11.3,핫플레이스
MA010120220812169422,60계경북경주,기타 간이,현곡면,129.1733975,35.89006384,1.2,로컬상권
MA010120220811729230,용강국밥,한식,천북면,129.2709272,35.94231996,3.4,로컬상권
MA010120220812363560,찐이야생삼겹살,한식,동천동,129.2280987,35.8505597,2.1,로컬상권
MA010120220803864717,인막창,주점,동천동,129.2228123,35.85505474,2.1,로컬상권
MA010120220809121261,서라벌대학교학생식당,한식,선도동,129.1825392,35.84187217,2.0,로컬상권
MA010120220811048263,주가네꼬막,한식,동천동,129.2231592,35.85558894,2.1,로컬상권
MA010120220813283519,다인식당,한식,강동면,129.2486886,35.94776656,1.8,로컬상권
MA010120220812947277,러브이즈,기타 간이,동천동,129.2253477,35.85745862,2.1,로컬상권
MA010120220809136707,아미랑,한식,보덕동,129.2851026,35.83460362,12.9,핫플레이스
MA010120220800926693,먹구가,한식,황오동,129.2101886,35.84845781,11.3,핫플레이스
MA010120220809485069,다해식당,한식,감포읍,129.5028553,35.80739666,4.5,로컬상권
MA010120220809105733,일품곰탕,한식,황남동,129.2092682,35.83922101,10.7,핫플레이스
MA010120220809102409,대화만두,기타 간이,황오동,129.2130027,35.84259426,11.3,핫플레이스
MA010120220808273015,옥산정식,한식,안강읍,129.1717927,35.99169412,3.2,로컬상권
MA010120220809897985,팀센추리우리골프클럽지점,한식,양남면,129.376997,35.67933112,4.6,로컬상권
MA010120220809106138,주달수횟집,한식,감포읍,129.4877368,35.74785747,4.5,로컬상권
MA010120220809106639,월성떡방앗간,기타 간이,동천동,129.2328651,35.84727249,2.1,로컬상권
MA010120220814193426,다온김밥,기타 간이,황오동,129.2175971,35.84703276,11.3,핫플레이스
MA010120220813487526,진양닭집,기타 간이,건천읍,129.1048124,35.84829628,7.6,핫플레이스
MA010120220809114848,무산식당,한식,건천읍,129.0903842,35.84211463,7.6,핫플레이스
MA010120220800140034,친정집,한식,황오동,129.2048188,35.83998756,11.3,핫플레이스
MA010120220813333522,미태리경주대릉원점,서양식,황남동,129.2145154,35.83332166,10.7,핫플레이스
MA010120220810415256,디멘션커피,비알코올 ,불국동,129.3261058,35.78405291,6.1,핫플레이스
MA010120220809129909,수가성순두부,한식,동천동,129.2254959,35.85523931,2.1,로컬상권
MA010120220808391324,인천항,한식,불국동,129.31155,35.77133183,6.1,핫플레이스
MA010120220805834295,베베르,비알코올 ,동천동,129.2270972,35.84759583,2.1,로컬상권
MA010120220804866212,이디야경주동문로점,비알코올 ,성건동,129.2140245,35.85267613,3.3,로컬상권
MA010120220809191811,장가네매운탕,한식,안강읍,129.2218445,35.99144391,3.2,로컬상권
MA010120220803927095,다슬기식당,한식,안강읍,129.2225916,35.99001546,3.2,로컬상권
MA010120220809117889,일점오커피숍,비알코올 ,안강읍,129.2282165,35.99251502,3.2,로컬상권
MA010120220809119233,달라스통닭,기타 간이,강동면,129.2760971,35.99040835,1.8,로컬상권
